tag,h,n,mean,sd,se
hE4,03,10,67.30,17.71,5.60
hE4,04,10,60.10,19.25,6.09
hE4,05,10,52.60,15.18,4.80
hE4,06,10,39.80,7.90,2.50
hE4,07,10,28.05,7.61,2.41
ct10,03,10,60.85,22.99,7.27
ct10,04,10,54.90,24.50,7.75
ct10,05,10,37.70,21.08,6.67
ct10,06,10,22.50,19.71,6.23
ct10,07,10,8.95,18.66,5.90
ct050,03,10,50.90,23.40,7.40
ct050,04,10,24.90,17.10,5.41
ct050,05,10,16.10,13.40,4.24
ct050,06,10,8.30,6.00,1.90
ct050,07,10,0.80,1.50,0.47
ctm05,03,10,44.90,19.00,6.01
ctm05,04,10,21.20,16.20,5.12
ctm05,05,10,5.70,5.90,1.87
ctm05,06,10,1.30,1.40,0.44
ctm05,07,10,0.30,0.40,0.13
ctm45,03,10,30.10,20.60,6.51
ctm45,04,10,12.70,11.60,3.67
ctm45,05,10,1.60,2.40,0.76
ctm45,06,10,1.10,2.60,0.82
ctm45,07,10,0.00,0.00,0.00
