tag,h,n,mean,sd,se
hE4,03,5,61.90,19.58,8.76
hE4,04,5,67.30,17.83,7.98
hE4,05,5,57.40,14.39,6.44
hE4,06,5,41.50,9.09,4.07
hE4,07,5,28.30,1.44,0.64
ct10,03,5,50.00,25.80,11.54
ct10,04,5,65.10,20.17,9.02
ct10,05,5,44.30,28.09,12.56
ct10,06,5,24.70,26.86,12.01
ct10,07,5,13.10,26.83,12.00
ct050,03,2,34.50,11.31,8.00
ct050,04,1,12.50,0.00,0.00
ct050,05,5,17.80,15.24,6.82
ct050,06,5,5.30,9.66,4.32
ct050,07,5,1.10,2.46,1.10
ctm05,03,5,52.80,22.88,10.23
ctm05,04,5,33.90,14.64,6.55
ctm05,05,5,11.00,6.23,2.79
ctm05,06,5,1.80,1.60,0.72
ctm05,07,5,0.20,0.45,0.20
ctm45,03,3,43.00,35.88,20.71
ctm45,04,3,12.00,4.82,2.78
ctm45,05,5,5.30,5.85,2.62
ctm45,06,5,0.90,0.82,0.37
ctm45,07,5,0.00,0.00,0.00
