tag,h,n,mean,sd,se
hE4,03,10,67.30,17.71,5.60
hE4,04,10,60.10,19.25,6.09
hE4,05,10,52.60,15.18,4.80
hE4,06,10,39.80,7.90,2.50
hE4,07,10,28.05,7.61,2.41
ct10,03,10,60.85,22.99,7.27
ct10,04,10,54.90,24.50,7.75
ct10,05,10,37.70,21.08,6.67
ct10,06,10,22.50,19.71,6.23
ct10,07,10,8.95,18.66,5.90
ct050,03,2,34.50,11.31,8.00
ct050,04,1,12.50,0.00,0.00
ct050,05,5,17.80,15.24,6.82
ct050,06,10,7.05,7.20,2.28
ct050,07,9,0.89,1.92,0.64
ctm05,03,5,52.80,22.88,10.23
ctm05,04,5,33.90,14.64,6.55
ctm05,05,7,8.71,6.44,2.43
ctm05,06,10,1.50,1.55,0.49
ctm05,07,10,0.25,0.42,0.13
ctm45,03,3,43.00,35.88,20.71
ctm45,04,3,12.00,4.82,2.78
ctm45,05,5,5.30,5.85,2.62
ctm45,06,10,0.55,0.69,0.22
ctm45,07,9,0.00,0.00,0.00
