cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0144,789.44,105,0.0,1.087,0.0044,goal_reached
0,0.0094,808.38,106,0.0,0.94,0.0027,goal_reached
0,0.0085,910.97,119,0.0,0.854,0.002,goal_reached
1,0.0861,1032.24,139,1.24,1.504,0.0849,goal_reached
1,0.0822,1036.37,141,1.26,1.651,0.0822,goal_reached
1,0.0519,1215.01,165,0.6,1.987,0.045,goal_reached
1,0.0492,1297.36,172,0.76,1.735,0.0418,goal_reached
1,0.0533,1276.33,172,1.12,2.114,0.0416,goal_reached
1,0.1209,1364.52,190,1.9,2.586,0.1209,goal_reached
0,0.0118,1494.77,194,0.0,1.139,0.0059,goal_reached
0,0.0262,939.04,125,0.0,1.292,0.0262,goal_reached
0,0.0107,2003.2,254,0.0,0.851,-0.0166,goal_reached
0,0.0147,2237.79,288,0.0,1.115,-0.0036,goal_reached
0,0.0138,951.27,125,0.0,1.113,0.0014,goal_reached
0,0.0239,2579.45,333,0.0,1.616,0.0232,goal_reached
0,0.0347,871.51,119,0.04,1.572,0.0154,goal_reached
0,0.0749,542.04,78,0.22,1.271,0.0346,goal_reached
1,0.0693,1528.17,205,1.88,2.282,0.0571,goal_reached
0,0.0117,1145.44,152,0.0,1.499,0.0022,goal_reached
0,0.052,504.26,72,0.14,1.173,0.0064,goal_reached
0,0.0286,1007.82,133,0.0,1.276,0.0239,goal_reached
0,0.009,2164.11,278,0.0,1.368,-0.0202,goal_reached
0,0.0017,3868.14,489,0.0,0.942,-0.0135,goal_reached
1,0.0647,2597.3,332,4.42,1.456,0.0518,goal_reached
1,0.148,5786.96,738,13.18,2.121,0.1172,goal_reached
0,0.0476,6304.75,801,0.28,2.016,0.019,goal_reached
1,0.1503,6366.68,832,12.28,2.717,0.1258,goal_reached
0,0.0083,934.59,122,0.0,0.955,0.0046,goal_reached
1,0.0382,7881.17,999,0.58,1.957,0.0072,time_out
0,0.0329,7854.43,999,0.02,1.21,-0.0204,time_out
0,0.0339,7925.22,999,0.28,1.404,0.0067,time_out
0,0.0414,7908.87,999,0.42,1.318,0.0059,time_out
0,0.035,7872.91,999,0.34,1.955,0.0037,time_out
0,0.0309,7923.44,999,0.0,1.671,0.0094,time_out
0,0.0422,7930.83,999,0.38,1.088,0.0048,time_out
0,0.0394,7906.77,999,0.24,1.657,0.0063,time_out
0,0.0449,7917.56,999,0.42,1.31,0.0056,time_out
0,0.0382,7858.14,999,0.42,1.31,0.0058,time_out
0,0.0091,7913.8,999,0.0,1.1,-0.0366,time_out
1,0.1132,7817.19,999,18.2,2.551,0.0824,time_out
1,0.114,7817.57,999,18.26,2.513,0.062,time_out
0,0.0,7945.23,999,0.0,0.911,-0.0287,time_out
0,0.0,7942.36,999,0.0,0.79,-0.0342,time_out
1,0.1145,7781.94,999,18.12,2.579,0.0871,time_out
0,0.0,7922.85,999,0.0,0.901,-0.0319,time_out
1,0.0735,7874.62,999,17.4,1.79,0.0491,time_out
1,0.0719,7881.04,999,18.62,1.567,0.0448,time_out
1,0.0737,7867.09,999,18.18,2.061,0.0451,time_out
0,0.038,7837.18,999,0.36,1.715,0.0168,time_out
1,0.0706,7883.62,999,17.96,1.988,0.049,time_out
1,0.0783,7896.6,999,18.32,1.603,0.0576,time_out
1,0.0386,7839.79,999,0.56,1.302,0.0167,time_out
0,0.03,7832.77,999,0.0,2.051,0.0205,time_out
1,0.0399,7757.72,999,1.3,1.426,0.0236,time_out
1,0.074,7862.86,999,18.26,2.018,0.0427,time_out
1,0.0864,7871.06,999,17.78,1.987,0.0455,time_out
1,0.084,7864.57,999,18.08,2.097,0.0476,time_out
1,0.0719,7899.03,999,18.42,1.495,0.0409,time_out
1,0.0382,7729.27,999,0.62,1.387,0.0096,time_out
1,0.0713,7877.92,999,18.34,1.68,0.0453,time_out
0,0.0089,7942.9,999,0.0,0.968,-0.0148,time_out
0,0.0453,7889.24,999,0.4,1.248,0.0226,time_out
0,0.0079,7866.92,999,0.0,0.963,-0.0331,time_out
0,0.0,7639.42,999,0.0,1.05,-0.0403,time_out
0,0.0434,7889.63,999,0.36,1.235,0.0205,time_out
0,0.0,7840.48,999,0.0,0.999,-0.0332,time_out
1,0.0759,7886.82,999,18.22,1.788,0.0491,time_out
0,0.0,7921.16,999,0.0,0.963,-0.0337,time_out
0,0.0,7885.79,999,0.0,0.944,-0.0351,time_out
0,0.0026,7904.94,999,0.0,0.911,-0.0348,time_out
0,0.0,7937.62,999,0.0,0.909,-0.0307,time_out
0,0.0036,7908.71,999,0.0,1.574,-0.0421,time_out
0,0.0,7946.6,999,0.0,0.955,-0.0326,time_out
0,0.0342,7864.13,999,0.12,1.66,0.0029,time_out
0,0.0,7887.64,999,0.0,1.602,-0.0348,time_out
0,0.0137,1065.73,143,0.0,1.648,0.0033,goal_reached
0,0.046,727.1,99,0.12,1.331,0.044,goal_reached
0,0.0095,748.89,101,0.0,1.124,0.0015,goal_reached
0,0.0116,7905.24,999,0.0,1.581,-0.0398,time_out
0,0.0,7899.13,999,0.0,1.525,-0.0351,time_out
0,0.0,239.88,32,0.0,0.346,-0.0096,tilt
0,0.0574,7893.03,999,0.18,1.442,0.0268,time_out
0,0.0,7959.69,999,0.0,1.022,-0.0065,time_out
1,0.065,1078.44,146,1.2,1.638,0.0633,goal_reached
1,0.0847,1207.95,161,1.52,1.551,0.0847,goal_reached
1,0.0723,1211.87,162,1.34,1.648,0.0723,goal_reached
0,0.0403,7945.43,999,0.28,1.415,0.0077,time_out
0,0.0313,510.51,71,0.0,1.077,0.0047,goal_reached
0,0.012,1345.27,174,0.0,1.134,-0.0033,goal_reached
0,0.0086,1589.64,210,0.0,1.664,0.0019,goal_reached
0,0.0318,1701.83,222,0.0,1.324,0.0248,goal_reached
0,0.0171,2011.37,259,0.0,1.413,-0.0011,goal_reached
0,0.0201,1001.43,133,0.0,1.252,0.0201,goal_reached
1,0.0808,1052.32,143,1.3,1.661,0.0808,goal_reached
0,0.0151,688.49,93,0.0,1.172,0.005,goal_reached
0,0.0,7953.36,999,0.0,0.931,-0.008,time_out
0,0.0033,7828.67,999,0.0,1.369,-0.0317,time_out
1,0.0436,7861.04,999,1.16,1.98,0.0084,time_out
1,0.1107,7796.82,999,18.1,2.542,0.0859,time_out
0,0.0,7900.28,999,0.0,1.609,-0.0205,time_out
0,0.005,7873.61,999,0.0,0.987,-0.0332,time_out
0,0.0,7911.48,999,0.0,1.562,-0.0317,time_out
0,0.0,7883.11,999,0.0,1.517,-0.031,time_out
1,0.1389,2509.84,327,5.12,2.007,0.0972,goal_reached
0,0.043,7924.12,999,0.36,1.123,0.0032,time_out
0,0.0148,824.69,111,0.0,1.262,0.0049,goal_reached
0,0.0491,1374.67,183,0.28,1.758,0.0459,goal_reached
1,0.0659,5103.58,653,11.16,1.764,0.0659,goal_reached
1,0.0942,5160.29,656,11.6,1.694,0.0826,goal_reached
0,0.0,413.16,60,0.0,1.141,-0.0073,tilt
1,0.0712,7898.98,999,18.12,1.782,0.0435,time_out
1,0.0959,5865.24,748,12.86,2.326,0.0826,goal_reached
0,0.0336,7875.32,999,0.3,1.89,0.0083,time_out
1,0.1024,6078.79,771,13.82,1.824,0.0852,goal_reached
0,0.0346,7929.5,999,0.34,1.084,0.0103,time_out
