cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,207.61,43,0.0,0.597,-0.0072,tilt
0,0.0375,293.04,59,0.02,0.796,0.0375,tilt
0,0.0321,300.0,64,0.02,1.061,0.0321,tilt
0,0.0103,346.79,67,0.0,1.062,0.0103,tilt
0,0.0,257.15,68,0.0,1.048,-0.0069,tilt
0,0.0662,294.66,70,0.08,1.059,0.0662,tilt
0,0.0,248.31,70,0.0,1.176,-0.0115,tilt
0,0.0819,299.24,71,0.16,1.127,0.0756,tilt
0,0.0,274.54,71,0.0,1.213,-0.0136,tilt
0,0.0325,345.02,72,0.02,0.826,0.0325,tilt
0,0.0394,284.07,73,0.1,1.072,0.0389,tilt
0,0.0427,281.78,73,0.12,1.086,0.0401,tilt
0,0.0,343.57,73,0.0,1.16,-0.0089,tilt
0,0.0316,297.25,74,0.0,0.999,0.0316,tilt
0,0.0,267.48,74,0.0,1.184,-0.0095,tilt
0,0.0455,302.84,75,0.16,1.113,0.0366,tilt
0,0.0373,301.09,76,0.12,1.12,0.0355,tilt
0,0.0141,282.28,76,0.0,1.2,0.0141,tilt
0,0.0352,298.44,76,0.02,1.217,0.0352,tilt
0,0.0,288.32,76,0.0,1.239,-0.0114,tilt
0,0.0401,402.77,78,0.1,1.132,0.0344,tilt
0,0.0,314.26,78,0.0,1.353,-0.0091,tilt
0,0.0302,320.69,79,0.0,1.105,0.0302,propeller_collision
0,0.0578,328.79,79,0.22,1.213,0.029,tilt
0,0.0,285.56,79,0.0,1.293,-0.0105,tilt
0,0.0,285.69,80,0.0,1.362,-0.0136,tilt
0,0.0,280.86,80,0.0,1.34,-0.0118,tilt
0,0.0,274.51,80,0.0,1.367,-0.0074,tilt
0,0.0,268.0,81,0.0,1.419,-0.0123,tilt
0,0.0,285.87,82,0.0,1.433,-0.0088,propeller_collision
0,0.0,282.23,82,0.0,1.379,-0.008,tilt
0,0.0317,312.68,82,0.0,1.227,0.0317,tilt
0,0.0021,431.09,83,0.0,0.892,-0.0034,goal_reached
0,0.0308,323.19,83,0.0,1.228,0.0308,propeller_collision
0,0.0072,521.84,83,0.0,1.108,0.0072,goal_reached
0,0.0,283.04,83,0.0,1.382,-0.0072,tilt
0,0.0346,329.78,84,0.06,1.268,0.0274,tilt
0,0.0,292.61,85,0.0,1.501,-0.0096,tilt
0,0.0795,537.81,85,0.14,1.183,0.0795,tilt
0,0.0,315.03,87,0.0,1.51,-0.01,tilt
0,0.0458,611.24,89,0.04,1.075,0.0458,tilt
0,0.0349,309.21,91,0.02,1.601,0.0349,tilt
0,0.0293,504.69,92,0.0,0.917,0.0293,tilt
0,0.0063,314.71,93,0.0,1.594,0.0063,tilt
0,0.0,490.11,93,0.0,1.5,-0.0087,tilt
0,0.0426,326.32,96,0.06,1.635,0.0426,tilt
0,0.0743,574.47,99,0.3,1.584,0.0385,goal_reached
0,0.0484,348.0,100,0.12,1.683,0.0459,tilt
0,0.0694,543.95,102,0.3,1.704,0.0687,tilt
0,0.0692,474.82,103,0.36,1.804,0.0692,tilt
0,0.0689,559.18,103,0.22,1.546,0.0689,tilt
0,0.0658,443.8,103,0.18,1.884,0.0499,tilt
0,0.1062,546.1,106,0.2,1.699,0.0977,tilt
0,0.0729,474.51,107,0.3,1.925,0.0729,tilt
0,0.0403,556.67,108,0.14,1.812,0.0401,goal_reached
0,0.0725,595.46,108,0.18,1.33,0.0725,tilt
1,0.1032,634.91,111,0.5,1.694,0.1032,tilt
1,0.0934,578.45,113,0.5,1.763,0.0934,tilt
0,0.0697,637.82,117,0.26,1.898,0.0697,tilt
0,0.0718,627.49,118,0.18,1.952,0.0718,tilt
1,0.074,735.47,122,0.56,1.55,0.074,tilt
1,0.0678,642.82,128,0.5,1.715,0.0678,goal_reached
0,0.1189,651.72,132,0.46,2.423,0.1189,tilt
0,0.0318,344.05,92,0.0,1.577,0.0318,tilt
0,0.0,319.11,83,0.0,1.4,-0.0059,propeller_collision
0,0.0,193.28,45,0.0,0.643,-0.0056,tilt
0,0.0,191.61,39,0.0,0.546,-0.0124,tilt
0,0.0,311.0,72,0.0,1.033,-0.0083,tilt
0,0.0311,352.15,72,0.0,0.911,0.0311,tilt
0,0.0288,348.13,75,0.0,0.979,0.0288,tilt
0,0.0,290.99,67,0.0,1.041,-0.0087,tilt
0,0.0155,299.23,82,0.0,1.367,0.0155,tilt
0,0.0,287.03,73,0.0,1.117,-0.0094,propeller_collision
0,0.0293,403.37,83,0.0,1.112,0.0293,tilt
0,0.0405,309.0,76,0.14,1.091,0.0401,tilt
0,0.0368,334.41,69,0.06,0.795,0.0368,tilt
0,0.0845,472.42,92,0.26,1.538,0.0845,tilt
0,0.0126,376.19,96,0.0,1.583,0.0126,tilt
0,0.031,380.2,81,0.0,1.109,0.031,tilt
0,0.0296,324.17,82,0.0,1.26,0.0296,tilt
0,0.0968,387.7,76,0.32,0.957,0.0958,tilt
0,0.0256,340.23,80,0.0,1.106,0.0256,tilt
0,0.0314,384.32,90,0.0,1.352,0.0314,tilt
0,0.0,319.49,84,0.0,1.393,-0.0121,tilt
0,0.0526,465.15,90,0.04,1.562,0.0526,tilt
0,0.0116,361.23,93,0.0,1.549,0.0116,tilt
0,0.0271,390.96,89,0.0,1.328,0.0271,tilt
0,0.0316,400.97,91,0.0,1.291,0.0316,propeller_collision
0,0.0346,505.44,97,0.02,1.373,0.0346,tilt
0,0.0325,608.63,90,0.02,1.174,0.0325,tilt
0,0.0828,516.75,96,0.2,1.557,0.076,tilt
0,0.0605,617.72,98,0.14,1.572,0.0515,goal_reached
0,0.0,251.89,66,0.0,1.067,-0.0097,propeller_collision
0,0.0542,369.87,95,0.1,1.506,0.0542,tilt
0,0.0327,464.67,92,0.02,1.302,0.0327,tilt
0,0.0334,381.4,85,0.02,1.164,0.0334,tilt
0,0.0333,490.82,81,0.04,1.237,0.0089,goal_reached
0,0.0387,382.19,91,0.02,1.469,0.0387,tilt
0,0.0113,579.39,98,0.0,1.079,0.0113,goal_reached
0,0.0475,295.7,72,0.06,1.239,0.0475,tilt
0,0.0,323.46,68,0.0,1.119,-0.009,tilt
0,0.0,307.5,80,0.0,1.317,-0.012,tilt
0,0.0302,647.2,97,0.0,1.395,0.0013,goal_reached
0,0.0697,592.57,104,0.3,1.412,0.0697,tilt
0,0.0702,546.3,105,0.24,1.706,0.0702,tilt
0,0.0343,387.31,83,0.06,1.115,0.0343,tilt
0,0.066,337.76,79,0.16,1.214,0.066,tilt
0,0.074,580.06,106,0.18,1.563,0.074,tilt
0,0.0815,501.01,99,0.16,1.413,0.0815,tilt
1,0.1278,609.98,116,0.54,1.755,0.1278,tilt
1,0.0772,544.06,102,0.54,1.428,0.0772,tilt
0,0.0,299.53,86,0.0,1.441,-0.0095,tilt
0,0.0094,298.03,84,0.0,1.411,0.0094,propeller_collision
0,0.0391,639.64,100,0.06,1.463,0.0391,goal_reached
1,0.0739,636.54,120,0.6,1.753,0.0739,tilt
0,0.028,686.18,137,0.0,2.059,0.0259,goal_reached
1,0.1312,635.84,123,0.54,1.765,0.1312,tilt
0,0.0793,733.72,112,0.3,1.67,0.0689,tilt
0,0.0709,503.42,94,0.2,1.37,0.0709,tilt
1,0.1133,768.58,141,0.72,2.118,0.1133,tilt
0,0.0,342.53,68,0.0,0.915,-0.0016,tilt
0,0.0342,387.22,74,0.02,0.998,0.0342,tilt
0,0.0116,307.99,82,0.0,1.395,0.0116,tilt
1,0.1082,717.8,119,0.58,1.843,0.1082,tilt
0,0.0679,390.98,83,0.14,1.356,0.0638,tilt
0,0.0309,508.08,93,0.0,1.413,0.0309,tilt
0,0.0,297.91,76,0.0,1.305,-0.0113,tilt
0,0.031,329.38,73,0.0,0.921,0.031,tilt
0,0.0,306.74,83,0.0,1.311,-0.0071,propeller_collision
0,0.0502,463.05,76,0.14,1.038,0.0419,tilt
0,0.0,317.86,88,0.0,1.519,-0.0072,propeller_collision
0,0.0,331.2,87,0.0,1.448,-0.009,tilt
1,0.0974,804.14,148,0.52,2.312,0.0974,tilt
0,0.0333,329.89,85,0.02,1.323,0.0333,tilt
0,0.063,302.47,79,0.06,1.266,0.063,tilt
0,0.0935,643.27,128,0.26,2.168,0.0733,tilt
0,0.0308,336.02,82,0.0,1.164,0.0308,tilt
0,0.0748,594.22,119,0.28,2.233,0.0466,goal_reached
0,0.0326,359.41,87,0.02,1.267,0.0326,tilt
0,0.0302,372.8,83,0.0,1.236,0.03,tilt
0,0.0,308.41,74,0.0,1.046,-0.0068,propeller_collision
0,0.0307,401.63,86,0.0,1.239,0.0307,tilt
0,0.0,310.27,86,0.0,1.582,-0.002,tilt
0,0.0,351.02,90,0.0,1.482,-0.0083,tilt
0,0.0329,534.87,98,0.02,1.492,0.0329,tilt
0,0.0066,466.92,74,0.0,0.95,-0.0024,goal_reached
0,0.0,331.98,87,0.0,1.407,-0.0065,propeller_collision
0,0.0302,491.4,83,0.0,1.146,0.0302,tilt
0,0.0,232.35,43,0.0,0.606,-0.0107,propeller_collision
0,0.0394,389.13,93,0.02,1.461,0.0394,tilt
0,0.0393,412.75,89,0.02,1.61,0.0393,tilt
0,0.0,289.13,73,0.0,1.215,-0.0117,tilt
0,0.0544,393.24,100,0.1,1.686,0.0526,tilt
0,0.0309,412.96,94,0.0,1.358,0.0309,tilt
0,0.0721,530.77,98,0.22,1.55,0.0721,tilt
0,0.0327,361.27,87,0.02,1.259,0.0327,tilt
0,0.0283,517.23,94,0.0,1.277,0.0283,tilt
0,0.0417,333.22,77,0.16,1.09,0.0333,propeller_collision
0,0.0306,351.1,87,0.0,1.353,0.0306,tilt
1,0.1108,869.06,134,0.64,1.538,0.1108,tilt
0,0.0137,309.53,63,0.0,0.997,0.0137,tilt
0,0.0377,371.7,74,0.08,0.899,0.0329,tilt
0,0.0287,465.86,88,0.0,1.378,0.0287,tilt
0,0.0516,370.37,84,0.14,1.562,0.0391,goal_reached
0,0.0511,512.08,92,0.12,1.437,0.0511,tilt
0,0.0734,538.96,110,0.22,1.746,0.0734,tilt
0,0.0501,480.35,93,0.08,1.347,0.0501,tilt
0,0.0619,715.91,104,0.06,1.409,0.0619,tilt
0,0.0,290.36,81,0.0,1.381,-0.0116,tilt
0,0.0,326.09,89,0.0,1.599,-0.0037,tilt
0,0.0,348.03,74,0.0,1.001,-0.0113,tilt
0,0.0227,344.11,94,0.0,1.66,0.0227,tilt
0,0.0402,323.61,87,0.04,1.48,0.0402,tilt
0,0.0,297.69,87,0.0,1.486,-0.0099,tilt
0,0.0601,548.37,106,0.22,1.598,0.0448,goal_reached
0,0.0428,308.85,84,0.08,1.31,0.0428,tilt
0,0.0,204.95,50,0.0,0.845,-0.0076,tilt
0,0.0337,373.4,73,0.02,0.85,0.0337,tilt
0,0.0338,332.21,81,0.02,1.16,0.0338,tilt
0,0.0,310.76,80,0.0,1.334,-0.0122,tilt
0,0.0,245.13,51,0.0,0.848,-0.0078,propeller_collision
0,0.036,496.63,98,0.08,1.744,0.0334,tilt
0,0.0,253.76,58,0.0,1.035,-0.0074,tilt
0,0.0341,312.35,80,0.02,1.271,0.0341,tilt
0,0.0367,383.93,90,0.02,1.439,0.0367,tilt
0,0.0,267.44,74,0.0,1.245,-0.007,tilt
1,0.1415,710.33,129,1.22,1.991,0.1251,goal_reached
0,0.0568,443.61,85,0.12,1.238,0.0568,tilt
0,0.0445,432.97,82,0.02,1.004,0.0445,tilt
0,0.0297,475.05,83,0.0,1.334,0.0297,tilt
0,0.0143,292.53,80,0.0,1.257,0.0143,tilt
0,0.0684,545.35,102,0.38,1.825,0.0684,tilt
0,0.0325,320.44,76,0.02,1.098,0.0325,tilt
0,0.0157,347.59,69,0.0,0.988,0.0157,tilt
0,0.0,288.13,71,0.0,1.132,-0.0104,tilt
0,0.032,342.82,78,0.02,1.035,0.032,tilt
0,0.0723,636.39,119,0.24,1.977,0.0723,tilt
0,0.034,300.96,74,0.04,1.085,0.034,tilt
0,0.0,272.27,63,0.0,0.96,-0.0119,tilt
0,0.0315,372.86,83,0.0,1.159,0.0315,tilt
