cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0046,426.25,81,0.0,0.996,-0.0105,goal_reached
0,0.0,453.14,84,0.0,1.012,-0.0037,goal_reached
0,0.0,487.18,92,0.0,1.145,-0.0113,goal_reached
0,0.0,482.38,92,0.0,1.202,-0.0103,goal_reached
0,0.0,509.92,94,0.0,1.148,-0.0047,goal_reached
0,0.0156,512.55,97,0.0,1.246,-0.0004,goal_reached
0,0.0,528.41,99,0.0,1.266,-0.0119,goal_reached
0,0.0,513.98,99,0.0,1.286,-0.0115,goal_reached
0,0.0748,582.73,102,0.22,1.383,0.0696,tilt
0,0.035,591.66,109,0.04,1.385,0.035,tilt
0,0.058,610.4,112,0.24,1.503,0.0514,goal_reached
0,0.0021,571.89,112,0.0,1.576,-0.0107,goal_reached
0,0.0842,613.14,112,0.2,1.469,0.0659,tilt
0,0.0842,613.14,112,0.2,1.469,0.0659,tilt
0,0.0,571.42,114,0.0,1.619,-0.0093,goal_reached
0,0.0708,632.66,115,0.26,1.567,0.0198,goal_reached
0,0.0655,634.16,116,0.28,1.559,0.0203,goal_reached
0,0.0,588.81,116,0.0,1.634,-0.0099,goal_reached
0,0.0049,599.07,118,0.0,1.665,0.0021,goal_reached
0,0.1051,641.28,120,0.2,1.752,0.1051,goal_reached
0,0.0,614.22,122,0.0,1.741,-0.0101,goal_reached
0,0.0,614.22,122,0.0,1.741,-0.0101,goal_reached
0,0.0089,613.77,122,0.0,1.847,0.0089,goal_reached
0,0.0587,649.47,124,0.18,1.786,0.058,goal_reached
0,0.0572,679.78,126,0.24,1.773,0.0208,goal_reached
0,0.0715,668.09,126,0.26,1.794,0.0461,goal_reached
0,0.058,675.56,127,0.3,1.882,0.024,goal_reached
0,0.0799,701.5,127,0.48,1.727,0.0501,tilt
0,0.052,705.06,127,0.24,1.662,0.052,tilt
0,0.0821,693.89,130,0.3,1.814,0.0353,goal_reached
0,0.0765,709.32,134,0.22,2.127,0.066,tilt
