cleared,max_gain_m,energy_J,steps,hold_s,max_disp_m,end_gain_m,end
0,0.0,419.81,65,0.0,0.685,-0.0068,tilt
0,0.0334,421.74,66,0.0,0.745,0.0334,tilt
0,0.0,440.01,69,0.0,0.822,-0.0058,tilt
0,0.0,444.52,69,0.0,0.741,-0.0075,tilt
0,0.0,447.85,70,0.0,0.815,-0.0062,tilt
0,0.0229,462.92,72,0.0,0.763,0.0229,tilt
0,0.0,460.5,72,0.0,0.767,-0.0062,tilt
0,0.0,466.79,73,0.0,0.797,-0.0064,tilt
0,0.0169,477.85,75,0.0,0.857,0.0169,tilt
0,0.0374,486.32,76,0.0,0.868,0.0374,tilt
0,0.0074,490.38,77,0.0,0.936,0.0074,tilt
0,0.0,498.2,78,0.0,0.909,-0.0068,tilt
0,0.0,503.72,79,0.0,0.957,-0.007,tilt
0,0.0,508.26,80,0.0,0.977,-0.0067,tilt
0,0.0,507.33,80,0.0,0.989,-0.0076,tilt
0,0.0192,532.96,82,0.0,0.865,0.0192,tilt
0,0.0192,532.96,82,0.0,0.865,0.0192,tilt
0,0.0,520.33,82,0.0,0.999,-0.0076,tilt
0,0.0323,546.9,85,0.0,0.955,0.0323,tilt
0,0.0428,542.91,85,0.06,0.967,0.0133,goal_reached
0,0.0207,553.89,86,0.0,1.001,0.0077,goal_reached
0,0.0144,543.51,86,0.0,1.118,0.014,goal_reached
0,0.023,546.77,86,0.0,1.122,0.023,tilt
0,0.0,551.03,87,0.0,1.065,-0.0083,tilt
0,0.0407,542.87,87,0.04,1.272,0.0114,goal_reached
0,0.0252,558.63,87,0.0,0.991,0.0078,goal_reached
0,0.0347,560.77,88,0.0,1.025,0.0134,goal_reached
0,0.0491,564.4,89,0.12,1.181,0.0248,goal_reached
0,0.0723,566.36,89,0.22,1.117,0.0548,goal_reached
0,0.0,563.64,90,0.0,1.203,-0.007,tilt
0,0.023,573.48,90,0.0,1.174,0.0076,goal_reached
0,0.0307,572.27,90,0.0,1.142,0.0066,goal_reached
0,0.012,568.56,90,0.0,1.135,0.011,goal_reached
0,0.0345,570.78,91,0.0,1.27,0.0163,goal_reached
0,0.0531,574.42,91,0.14,1.288,0.0149,goal_reached
0,0.0413,573.74,91,0.04,1.254,0.0113,goal_reached
0,0.0311,572.16,91,0.0,1.235,0.0133,goal_reached
0,0.1051,596.1,92,0.22,1.233,0.0963,goal_reached
0,0.0449,585.67,92,0.1,1.136,0.0159,goal_reached
0,0.06,584.69,92,0.2,1.13,0.0401,goal_reached
0,0.0,138.62,20,0.0,0.143,-0.0079,tilt
0,0.0368,592.45,94,0.0,1.208,0.0069,goal_reached
0,0.0517,600.01,94,0.14,1.262,0.0147,goal_reached
0,0.003,594.9,95,0.0,1.332,0.003,tilt
0,0.0397,599.68,95,0.0,1.226,0.0098,goal_reached
0,0.0,161.3,23,0.0,0.066,-0.0072,tilt
0,0.029,606.68,96,0.0,1.279,0.0116,goal_reached
0,0.0,138.63,20,0.0,0.109,-0.0118,tilt
0,0.0881,627.04,97,0.24,1.275,0.0634,goal_reached
0,0.0,619.61,97,0.0,1.145,-0.005,tilt
0,0.0459,608.89,97,0.1,1.298,0.0201,goal_reached
0,0.0,621.24,98,0.0,1.243,-0.0064,tilt
0,0.0455,620.28,98,0.12,1.369,0.0318,goal_reached
0,0.0362,619.06,98,0.0,1.319,0.0089,goal_reached
0,0.0871,646.77,99,0.3,1.29,0.0644,goal_reached
0,0.0057,613.05,99,0.0,1.436,0.0057,tilt
0,0.0851,641.87,99,0.2,1.234,0.0712,goal_reached
0,0.0431,673.52,103,0.08,1.263,0.0431,tilt
0,0.0,138.39,20,0.0,0.143,-0.0083,tilt
0,0.0,146.01,21,0.0,0.107,-0.0116,tilt
0,0.0192,661.93,104,0.0,1.279,0.0067,goal_reached
0,0.0683,702.41,106,0.2,1.255,0.0661,goal_reached
0,0.042,732.02,111,0.02,1.303,0.042,tilt
0,0.0,171.51,25,0.0,0.131,-0.0086,tilt
0,0.0414,756.57,114,0.02,1.218,0.0414,tilt
0,0.0,168.69,24,0.0,0.066,-0.0096,tilt
0,0.0,153.33,22,0.0,0.096,-0.0078,tilt
0,0.0909,800.85,123,0.3,1.567,0.0671,goal_reached
0,0.0666,815.05,125,0.08,1.589,0.0666,tilt
1,0.1384,853.6,127,0.78,1.643,0.1384,tilt
0,0.0,372.3,57,0.0,0.556,-0.0068,tilt
0,0.0026,451.7,70,0.0,0.752,0.0026,tilt
0,0.0781,947.85,141,0.34,1.606,0.0637,goal_reached
0,0.0,496.25,78,0.0,0.884,-0.0058,tilt
0,0.0047,471.45,73,0.0,0.731,0.0047,tilt
1,0.1429,981.33,147,0.92,1.953,0.1067,goal_reached
0,0.0,450.57,70,0.0,0.817,-0.0056,tilt
0,0.0,366.8,56,0.0,0.526,-0.0078,tilt
0,0.0505,411.73,64,0.18,0.803,0.0446,tilt
0,0.0171,507.97,80,0.0,0.93,0.0171,tilt
0,0.0075,428.13,67,0.0,0.755,0.0075,tilt
0,0.0392,585.46,91,0.0,1.056,0.0392,tilt
0,0.0198,504.43,79,0.0,0.942,0.0198,tilt
0,0.0,495.67,78,0.0,0.955,-0.0071,tilt
0,0.0,477.84,75,0.0,0.878,-0.0064,tilt
0,0.0,568.37,88,0.0,0.995,-0.0076,tilt
0,0.0,492.78,77,0.0,0.922,-0.0057,tilt
0,0.0,545.89,86,0.0,1.106,-0.0042,tilt
0,0.0459,527.95,84,0.08,1.201,0.0111,goal_reached
0,0.047,570.12,89,0.12,1.039,0.0101,goal_reached
0,0.0894,591.37,91,0.22,1.234,0.0744,goal_reached
0,0.0589,555.68,89,0.16,1.318,0.0146,goal_reached
0,0.0,511.2,80,0.0,0.958,-0.0063,tilt
0,0.0371,548.7,87,0.0,1.227,0.0068,goal_reached
0,0.0223,565.76,92,0.0,1.409,0.0178,goal_reached
0,0.0,502.0,80,0.0,1.134,-0.0064,tilt
0,0.0826,520.65,82,0.2,1.306,0.0688,goal_reached
0,0.0,254.27,39,0.0,0.233,-0.0082,tilt
0,0.0,566.99,88,0.0,0.872,-0.006,tilt
0,0.0453,541.1,86,0.1,1.186,0.0359,goal_reached
0,0.0,598.83,93,0.0,1.062,-0.008,tilt
0,0.0831,619.24,95,0.26,1.064,0.007,goal_reached
0,0.0393,609.43,94,0.0,1.19,0.0393,tilt
0,0.0179,568.57,91,0.0,1.269,0.0146,goal_reached
0,0.0482,640.28,100,0.06,1.232,0.0482,tilt
0,0.0333,587.01,93,0.0,1.273,0.0076,goal_reached
0,0.0152,428.72,67,0.0,0.762,0.0152,tilt
0,0.0471,551.02,86,0.12,0.98,0.0098,goal_reached
0,0.1041,614.51,95,0.28,1.23,0.0761,goal_reached
0,0.0435,656.4,103,0.06,1.357,0.0123,goal_reached
0,0.0,202.39,29,0.0,0.053,-0.0112,tilt
0,0.0374,688.65,108,0.0,1.467,0.0108,goal_reached
0,0.0418,675.18,105,0.02,1.487,0.0418,tilt
0,0.0382,547.29,87,0.0,1.177,0.0145,goal_reached
0,0.0,407.51,65,0.0,0.888,-0.0058,tilt
0,0.0127,565.96,89,0.0,1.109,0.0127,tilt
0,0.0427,721.17,109,0.02,1.321,0.0427,tilt
1,0.1496,906.0,136,0.78,1.865,0.1397,goal_reached
0,0.067,778.3,120,0.18,1.605,0.067,tilt
0,0.0,635.69,100,0.0,1.262,-0.0071,tilt
0,0.042,745.34,115,0.02,1.523,0.042,tilt
0,0.0715,743.82,117,0.18,1.594,0.0696,tilt
0,0.0386,442.26,69,0.0,0.781,0.0386,tilt
1,0.1402,871.33,132,0.82,1.828,0.1402,tilt
0,0.0417,708.42,108,0.02,1.313,0.0417,tilt
0,0.0,412.16,64,0.0,0.693,-0.0072,tilt
1,0.1436,949.22,142,0.86,1.851,0.1223,goal_reached
0,0.0,178.98,26,0.0,0.107,-0.0106,tilt
1,0.1383,860.75,133,0.62,1.915,0.1318,goal_reached
0,0.0,234.49,34,0.0,0.127,-0.0088,tilt
1,0.0906,763.42,111,0.62,1.343,0.0882,tilt
1,0.134,936.78,140,0.86,1.839,0.109,goal_reached
1,0.1122,905.79,136,0.62,1.838,0.1122,tilt
0,0.0,508.58,80,0.0,0.979,-0.0064,tilt
0,0.0,639.68,101,0.0,1.277,-0.0057,tilt
0,0.0455,577.36,92,0.12,1.274,0.0161,goal_reached
0,0.0702,624.7,96,0.2,1.229,0.0608,goal_reached
0,0.0937,743.92,116,0.26,1.684,0.0705,goal_reached
0,0.0186,425.54,67,0.0,0.761,0.0186,tilt
0,0.0,146.08,21,0.0,0.112,-0.0104,tilt
0,0.0,145.3,21,0.0,0.148,-0.0136,tilt
0,0.0,139.38,20,0.0,0.12,-0.0087,tilt
0,0.0,137.99,20,0.0,0.124,-0.0099,tilt
0,0.0,139.99,20,0.0,0.118,-0.0129,tilt
0,0.0,145.34,21,0.0,0.137,-0.0113,tilt
0,0.0,189.36,27,0.0,0.048,-0.0082,tilt
0,0.0225,472.26,73,0.0,0.736,0.0225,tilt
0,0.1043,842.84,131,0.44,1.921,0.0855,goal_reached
0,0.0,470.63,73,0.0,0.823,-0.0063,tilt
0,0.0,292.68,44,0.0,0.332,-0.0065,tilt
0,0.0381,536.27,84,0.0,1.037,0.0073,goal_reached
1,0.1702,947.34,140,0.86,1.727,0.1566,tilt
0,0.0,192.34,28,0.0,0.134,-0.0069,tilt
0,0.0,441.12,70,0.0,0.838,-0.0074,tilt
0,0.0,417.91,66,0.0,0.875,-0.0077,tilt
0,0.096,607.55,94,0.26,1.298,0.0692,goal_reached
0,0.0,160.76,23,0.0,0.081,-0.0071,tilt
0,0.0152,599.36,95,0.0,1.273,0.0152,goal_reached
0,0.0,433.48,68,0.0,0.786,-0.0057,tilt
1,0.1781,1050.4,157,0.72,1.963,0.1781,tilt
0,0.0,137.72,20,0.0,0.145,-0.0079,tilt
0,0.0,139.9,20,0.0,0.138,-0.012,tilt
0,0.0,143.89,21,0.0,0.121,-0.0102,tilt
0,0.0,159.75,23,0.0,0.088,-0.0128,tilt
0,0.0424,540.36,86,0.06,1.109,0.0087,goal_reached
1,0.1758,983.29,149,0.76,1.954,0.1549,goal_reached
0,0.0,409.65,64,0.0,0.723,-0.0064,tilt
0,0.0247,562.76,88,0.0,1.155,0.0214,goal_reached
0,0.0,405.36,62,0.0,0.541,-0.0071,tilt
0,0.0,217.55,31,0.0,0.062,-0.0089,tilt
0,0.0292,620.38,98,0.0,1.298,0.0112,goal_reached
0,0.0981,600.38,93,0.3,1.004,0.0061,goal_reached
0,0.0426,510.24,77,0.04,0.879,0.0426,tilt
0,0.0452,558.78,87,0.1,0.994,0.0183,goal_reached
0,0.0,172.2,25,0.0,0.132,-0.009,tilt
0,0.0425,650.23,101,0.04,1.358,0.0425,tilt
0,0.0,590.9,94,0.0,1.324,-0.0053,tilt
0,0.0733,664.68,102,0.26,1.262,0.0579,goal_reached
0,0.0,140.19,20,0.0,0.098,-0.0097,tilt
0,0.0,455.54,71,0.0,0.743,-0.0064,tilt
0,0.0,532.68,83,0.0,0.996,-0.0021,tilt
0,0.041,615.98,93,0.02,1.092,0.041,tilt
0,0.0157,541.89,84,0.0,0.987,0.0065,goal_reached
0,0.0,661.62,104,0.0,1.263,-0.0095,tilt
0,0.0,435.39,67,0.0,0.595,-0.0084,tilt
0,0.0266,707.32,110,0.0,1.239,0.0079,goal_reached
0,0.0034,574.41,92,0.0,1.254,0.0034,tilt
0,0.0,597.72,94,0.0,1.177,-0.009,tilt
1,0.1473,957.3,143,0.82,1.958,0.1098,goal_reached
0,0.0,630.91,99,0.0,1.222,-0.0072,tilt
0,0.0381,741.2,117,0.0,1.561,0.0086,goal_reached
0,0.041,765.36,116,0.02,1.358,0.041,tilt
0,0.0129,492.27,77,0.0,0.938,0.0129,tilt
0,0.0,468.33,74,0.0,0.97,-0.006,tilt
0,0.0985,728.93,112,0.3,1.273,0.0679,goal_reached
0,0.0,220.04,32,0.0,0.138,-0.0079,tilt
0,0.0339,578.11,90,0.0,0.971,0.0339,tilt
0,0.0191,421.19,66,0.0,0.757,0.0191,tilt
0,0.0354,619.71,97,0.0,1.134,0.009,goal_reached
0,0.0,441.13,69,0.0,0.794,-0.0058,tilt
